Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
DIN,DINEEQUITY INC,Equity,0,42.21,3578,151027.38,-,Consumer Discretionary,2456957,US2544231069,New York Stock Exchange Inc.,2011
CATO,CATO CORP CLASS A,Equity,0,24.2,6276,151879.2,-,Consumer Discretionary,2180438,US1492051065,New York Stock Exchange Inc.,2011
STNR,STEINER LEISURE LTD,Equity,0,45.39,3419,155188.41,-,Consumer Discretionary,2784692,BSP8744Y1024,NASDAQ,2011
CEC,CEC ENTERTAINMENT INC,Equity,0,34.45,4507,155266.15,-,Consumer Discretionary,2805719,US1251371092,New York Stock Exchange Inc.,2011
SFLY,SHUTTERFLY INC,Equity,0,22.76,6826,155359.76,-,Consumer Discretionary,B188HK1,US82568P3047,NASDAQ,2011
CTCT,CONSTANT CONTACT INC,Equity,0,23.21,6694,155367.74,-,Consumer Discretionary,B2871D6,US2103131023,NASDAQ,2011
NCMI,NATIONAL CINEMEDIA INC,Equity,0,12.4,12745,158038,-,Consumer Discretionary,B1R2N51,US6353091076,NASDAQ,2011
RYL,RYLAND GROUP INC.,Equity,0,15.76,10091,159034.16,-,Consumer Discretionary,2761101,US7837641031,New York Stock Exchange Inc.,2011
PP1,PAPA JOHNS INTERNATIONAL INC,Equity,0.01,37.68,4279,161232.72,-,Consumer Discretionary,5749159,US6988131024,Boerse Muenchen,2011
OEH,ORIENT EXPRESS HOTELS LTD.,Equity,0.01,7.47,21627,161553.69,-,Consumer Discretionary,2619288,BMG677431071,New York Stock Exchange Inc.,2011
ASCMA,ASCENT CAPITAL GROUP INC SERIES A,Equity,0.01,50.72,3282,166463.04,-,Consumer Discretionary,B3D6PB1,US0436321089,NASDAQ,2011
ACOM,ANCESTRY.COM INC.,Equity,0.01,22.96,7262,166735.52,-,Consumer Discretionary,B55YKN4,US0328031085,NASDAQ,2011
ISCA,INTERNATIONAL SPEEDWAY CORP CLASS,Equity,0.01,25.35,6698,169794.3,-,Consumer Discretionary,2478144,US4603352018,NASDAQ,2011
UHAL,AMERCO,Equity,0.01,88.4,1964,173617.6,-,Consumer Discretionary,2028174,US0235861004,NASDAQ,2011
APEI,AMERICAN PUBLIC EDUCATION INC,Equity,0.01,43.28,4074,176322.72,-,Consumer Discretionary,B292GM4,US02913V1035,NASDAQ,2011
SCHL,SCHOLASTIC CORP,Equity,0.01,29.97,6040,181018.8,-,Consumer Discretionary,2779234,US8070661058,NASDAQ,2011
FNP,FIFTH & PACIFIC CO INC,Equity,0.01,8.63,21850,188565.5,-,Consumer Discretionary,2519861,US5393201018,New York Stock Exchange Inc.,2011
JNY,JONES GROUP INC,Equity,0.01,10.55,18522,195407.1,-,Consumer Discretionary,2477152,US48020T1016,New York Stock Exchange Inc.,2011
